sampleID,Run,Lib_plate,Lib_plate_pos,Lib_condition,qPCR_Ct,qPCR_Quantity,Type,DNA_Plate_No,Micronix,RackID,Index_plate,Lib_pool
M09_HT11022011-06,M09,P04,C09,"1A5 & 2, 15 cycles",22.1,5018.9415,DBS,NA,NA,NA,NA,NA
M10_HT11022013-01,M10,P03,C09,"1A5 & 2, 15 cycles",22.02,4776.2,DBS,NA,NA,NA,NA,NA
M10_HT11022013-07,M10,P03,C12,"1A5 & 2, 15 cycles",19.38,37108.8221,DBS,NA,NA,NA,NA,NA
M14_HT11022013-07,M14,P10,E09,"1A5 & 2, 15 cycles",19.38,37108.8221,DBS,NA,NA,NA,NA,NA
M10_HT11032012-04,M10,P04,B02,"1A5 & 2, 15 cycles",22.82,3164.3043,DBS,NA,NA,NA,NA,NA
M09_HT11042011-05,M09,P04,A09,"1A5 & 2, 15 cycles",22.04,4904.7062,DBS,NA,NA,NA,NA,NA
M10_HT11042013-11,M10,P03,F08,"1A5 & 2, 15 cycles",22.61,3620.0032,DBS,NA,NA,NA,NA,NA
M11_HT11052010-10,M11,P05,E11,"1A5 & 2, 15 cycles",19.76,21363.8828,DBS,NA,NA,NA,NA,NA
M10_HT11052012-01,M10,P04,D01,"1A5 & 2, 15 cycles",23.95,1429.7302,DBS,NA,NA,NA,NA,NA
M13_HT11092012-02,M13,P07,D06,"1A5 & 2, 20 cycles",26.12,724.2959,DNA,NA,NA,NA,NA,NA
M12_HT11112010-03,M12,P06,F09,"1A5 & 2, 20 cycles",26.49,261.0966456,DNA,NA,NA,NA,NA,NA
M09_HT12012011-01,M09,P04,E10,"1A5 & 2, 15 cycles",20.35,11809.58844,DBS,NA,NA,NA,NA,NA
M14_HT12012011-01,M14,P10,A08,"1A5 & 2, 15 cycles",20.35,11809.58844,DBS,NA,NA,NA,NA,NA
M12_HT12012013-01,M12,P06,D07,"1A5 & 2, 20 cycles",28.6,106.7,DNA,NA,NA,NA,NA,NA
M09_HT12022011-01,M09,P04,F09,"1A5 & 2, 15 cycles",21.47,6244.2,DBS,NA,NA,NA,NA,NA
M09_HT12022011-07,M09,P04,B09,"1A5 & 2, 15 cycles",22.01,5000.5961,DBS,NA,NA,NA,NA,NA
M10_HT12022012-05,M10,P03,G11,"1A5 & 2, 15 cycles",18.88,31079,DBS,NA,NA,NA,NA,NA
M10_HT12022012-07,M10,P03,D12,"1A5 & 2, 15 cycles",18.46,40317,DBS,NA,NA,NA,NA,NA
M10_HT12032012-02,M10,P04,C06,"1A5 & 2, 15 cycles",17.33,81205,DBS,NA,NA,NA,NA,NA
M14_HT12032012-02,M14,P10,C08,"1A5 & 2, 15 cycles",17.33,81205,DBS,NA,NA,NA,NA,NA
M15_HT12042013-22,M15,P11,A05,"1A5 & 2, 20 cycles",31.2,13.278,DBS,NA,NA,NA,NA,NA
M09_HT13012011-04,M09,P04,B10,"1A5 & 2, 15 cycles",21.16,7566.6,DBS,NA,NA,NA,NA,NA
M13_HT13012013-02,M13,P07,H06,"1A5 & 2, 20 cycles",24.59,910.7,DBS,NA,NA,NA,NA,NA
M10_HT13022012-05,M10,P03,D09,"1A5 & 2, 15 cycles",21.62,5690,DBS,NA,NA,NA,NA,NA
M10_HT13032013-01,M10,P03,C11,"1A5 & 2, 15 cycles",20.38,14318.5407,DBS,NA,NA,NA,NA,NA
M14_HT13032013-01,M14,P10,E08,"1A5 & 2, 15 cycles",20.38,14318.5407,DBS,NA,NA,NA,NA,NA
M10_HT13032013-02,M10,P03,B10,"1A5 & 2, 15 cycles",21.51,8594.2149,DBS,NA,NA,NA,NA,NA
M11_HT13042010-04,M11,P05,D09,"1A5 & 2, 15 cycles",22.06,6380,DNA,NA,NA,NA,NA,NA
M11_HT13042010-05,M11,P05,H08,"1A5 & 2, 15 cycles",22.81,3739,DNA,NA,NA,NA,NA,NA
M11_HT13072010-03,M11,P05,G11,"1A5 & 2, 15 cycles",20,27685,DNA,NA,NA,NA,NA,NA
M13_HT13072012-08,M13,P07,H03,"1A5 & 2, 20 cycles",28.58,173.4636,DNA,NA,NA,NA,NA,NA
M10_HT13072012-10,M10,P04,F03,"1A5 & 2, 15 cycles",20.72,9830.1777,DBS,NA,NA,NA,NA,NA
M14_HT13072012-10,M14,P10,H08,"1A5 & 2, 15 cycles",20.72,9830.1777,DBS,NA,NA,NA,NA,NA
M09_HT14012011-01,M09,P04,H07,"1A5 & 2, 15 cycles",22.49,3318.9,DBS,NA,NA,NA,NA,NA
M13_HT14012013-03,M13,P07,G06,"1A5 & 2, 20 cycles",24.62,990.5,DNA,NA,NA,NA,NA,NA
